ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,cumulative,cumulative_lower,cumulative_upper
2011-01-01,-378459.4888444687,-16504510.799058147,16431840.67336328,-378459.4888444687,-378459.4888444687,-0.11327925724573044,-0.11327925724573044,-0.11327925724573044,-0.07981088949390752,-0.07981088949390752,-0.07981088949390752,0.03346836775182288,0.03346836775182288,0.03346836775182288,0.0,0.0,0.0,-348254.3004023821,,,
2011-02-01,-368607.8512011402,-16055254.602365492,14850454.349543756,-368607.8512011402,-368607.8512011402,-0.00515340000028983,-0.00515340000028983,-0.00515340000028983,-0.49750301511591655,-0.49750301511591655,-0.49750301511591655,-0.4923496151156267,-0.4923496151156267,-0.4923496151156267,0.0,0.0,0.0,-185224.33383317382,,,
2011-03-01,-359709.5978458757,-16233259.358737545,16088382.719199456,-359709.5978458757,-359709.5978458757,-0.03654301039139754,-0.03654301039139754,-0.03654301039139754,-0.7719384076419943,-0.7719384076419943,-0.7719384076419943,-0.7353953972505968,-0.7353953972505968,-0.7353953972505968,0.0,0.0,0.0,-82035.94367118827,,,
2011-04-01,-349857.96020254714,-16208728.726481693,17017926.634782832,-349857.96020254714,-349857.96020254714,-0.13945805144482604,-0.13945805144482604,-0.13945805144482604,-1.2575157596868132,-1.2575157596868132,-1.2575157596868132,-1.1180577082419871,-1.1180577082419871,-1.1180577082419871,0.0,0.0,0.0,90093.93840403778,,,
2011-05-01,-340324.11732190667,-16337062.746257208,16058760.51962516,-340324.11732190667,-340324.11732190667,-0.03654301039124666,-0.03654301039124666,-0.03654301039124666,-0.9245154818677216,-0.9245154818677216,-0.9245154818677216,-0.8879724714764748,-0.8879724714764748,-0.8879724714764748,0.0,0.0,0.0,-25689.20200483711,,,
2011-06-01,-330472.4796785781,-18744352.979317166,14223914.251111787,-330472.4796785781,-330472.4796785781,-0.13945805144471568,-0.13945805144471568,-0.13945805144471568,5.7917285421502465,5.7917285421502465,5.7917285421502465,5.931186593594961,5.931186593594961,5.931186593594961,0.0,0.0,0.0,-2244479.3726281663,,,
2011-07-01,-320938.6367979376,-15570613.434221523,15956480.472380329,-320938.6367979376,-320938.6367979376,-0.0365430103914742,-0.0365430103914742,-0.0365430103914742,-1.1688807586858174,-1.1688807586858174,-1.1688807586858174,-1.132337748294343,-1.132337748294343,-1.132337748294343,0.0,0.0,0.0,54200.36047402771,,,
2011-08-01,-311086.99537491455,-16485470.461504664,15816539.864351092,-311086.99537491455,-311086.99537491455,-0.13945805144481416,-0.13945805144481416,-0.13945805144481416,-1.0430528450325423,-1.0430528450325423,-1.0430528450325423,-0.9035947935877282,-0.9035947935877282,-0.9035947935877282,0.0,0.0,0.0,13393.180203515385,,,
2011-09-01,-301235.3539518915,-16579100.517907897,15991383.666913636,-301235.3539518915,-301235.3539518915,-0.19226733083319225,-0.19226733083319225,-0.19226733083319225,-0.5479727016066788,-0.5479727016066788,-0.5479727016066788,-0.3557053707734866,-0.3557053707734866,-0.3557053707734866,0.0,0.0,0.0,-136166.60322742938,,,
2011-10-01,-291701.5074134821,-16217672.770526996,16550580.347962031,-291701.5074134821,-291701.5074134821,-0.13945805144475198,-0.13945805144475198,-0.13945805144475198,-0.44418859604982036,-0.44418859604982036,-0.44418859604982036,-0.3047305446050684,-0.3047305446050684,-0.3047305446050684,0.0,0.0,0.0,-162131.02436987121,,,
2011-11-01,-281849.86599045905,-16416025.452441545,16157549.418242814,-281849.86599045905,-281849.86599045905,-0.19226733083313519,-0.19226733083313519,-0.19226733083313519,-0.275668426380939,-0.275668426380939,-0.275668426380939,-0.0834010955478039,-0.0834010955478039,-0.0834010955478039,0.0,0.0,0.0,-204152.75695719066,,,
2011-12-01,-272316.01945204963,-17128330.04470656,17067180.18097126,-272316.01945204963,-272316.01945204963,-0.13945805144485052,-0.13945805144485052,-0.13945805144485052,-0.03383133551306494,-0.03383133551306494,-0.03383133551306494,0.1056267159317858,0.1056267159317858,0.1056267159317858,0.0,0.0,0.0,-263103.204832385,,,
2012-01-01,-262464.36287268845,-15787779.817062918,15031688.802474335,-262464.36287268845,-262464.36287268845,-0.1922673308331348,-0.1922673308331348,-0.1922673308331348,-0.16825618162780115,-0.16825618162780115,-0.16825618162780115,0.024011149205333482,0.024011149205333482,0.024011149205333482,0.0,0.0,0.0,-218303.11136235626,,,
2012-02-01,-252612.70629332727,-17524736.70405416,15993055.39446119,-252612.70629332727,-252612.70629332727,-0.18213022037318694,-0.18213022037318694,-0.18213022037318694,-0.6879341952188073,-0.6879341952188073,-0.6879341952188073,-0.5058039748456203,-0.5058039748456203,-0.5058039748456203,0.0,0.0,0.0,-78831.78748738224,,,
2012-03-01,-243396.64046102163,-16567175.303383347,17005905.199791342,-243396.64046102163,-243396.64046102163,-0.03654301039165195,-0.03654301039165195,-0.03654301039165195,-0.7337201994803326,-0.7337201994803326,-0.7337201994803326,-0.6971771890886806,-0.6971771890886806,-0.6971771890886806,0.0,0.0,0.0,-64811.60886911804,,,
2012-04-01,-233544.9838816605,-16229086.260285815,15930650.860150263,-233544.9838816605,-233544.9838816605,-0.13945805144467793,-0.13945805144467793,-0.13945805144467793,-1.2712704349802193,-1.2712704349802193,-1.2712704349802193,-1.1318123835355414,-1.1318123835355414,-1.1318123835355414,0.0,0.0,0.0,63353.84936502635,,,
2012-05-01,-224011.12267582706,-15877887.24919609,17370637.65246035,-224011.12267582706,-224011.12267582706,-0.036543010391501096,-0.036543010391501096,-0.036543010391501096,-1.063043441886011,-1.063043441886011,-1.063043441886011,-1.0265004314945099,-1.0265004314945099,-1.0265004314945099,0.0,0.0,0.0,14122.432194233601,,,
2012-06-01,-214159.46609646588,-16232556.722853795,14130693.508784773,-214159.46609646588,-214159.46609646588,-0.13945805144494677,-0.13945805144494677,-0.13945805144494677,5.808800698256735,5.808800698256735,5.808800698256735,5.948258749701682,5.948258749701682,5.948258749701682,0.0,0.0,0.0,-1458169.1222959065,,,
2012-07-01,-204625.5995215124,-15008950.596342739,16295244.894382322,-204625.5995215124,-204625.5995215124,-0.03654301039142449,-0.03654301039142449,-0.03654301039142449,-1.0466566886008457,-1.0466566886008457,-1.0466566886008457,-1.010113678209421,-1.010113678209421,-1.010113678209421,0.0,0.0,0.0,9547.152876636566,,,
2012-08-01,-194773.93739406046,-16121202.022772526,15122085.082391024,-194773.93739406046,-194773.93739406046,-0.1394580514445535,-0.1394580514445535,-0.1394580514445535,-1.0396113258648125,-1.0396113258648125,-1.0396113258648125,-0.9001532744202592,-0.9001532744202592,-0.9001532744202592,0.0,0.0,0.0,7715.253904088723,,,
2012-09-01,-184922.27526660854,-16844305.358389117,16685294.442497244,-184922.27526660854,-184922.27526660854,-0.19226733083322536,-0.19226733083322536,-0.19226733083322536,-0.582934237757137,-0.582934237757137,-0.582934237757137,-0.39066690692391176,-0.39066690692391176,-0.39066690692391176,0.0,0.0,0.0,-77124.74968975261,,,
2012-10-01,-175388.40869165506,-15568360.281509822,17621987.372580335,-175388.40869165506,-175388.40869165506,-0.13945805144444315,-0.13945805144444315,-0.13945805144444315,-0.4866310839474729,-0.4866310839474729,-0.4866310839474729,-0.3471730325030299,-0.3471730325030299,-0.3471730325030299,0.0,0.0,0.0,-90038.95725821258,,,
2012-11-01,-165536.74656420315,-15892176.2925104,16967154.43604308,-165536.74656420315,-165536.74656420315,-0.19226733083324632,-0.19226733083324632,-0.19226733083324632,-0.31448562994687757,-0.31448562994687757,-0.31448562994687757,-0.12221829911363127,-0.12221829911363127,-0.12221829911363127,0.0,0.0,0.0,-113477.8185416031,,,
2012-12-01,-156002.89795338956,-17127944.49355887,16138899.835454576,-156002.89795338956,-156002.89795338956,-0.13945805144456577,-0.13945805144456577,-0.13945805144456577,-0.03559632325996609,-0.03559632325996609,-0.03559632325996609,0.10386172818459971,0.10386172818459971,0.10386172818459971,0.0,0.0,0.0,-150449.7683683492,,,
2013-01-01,-146151.2543888822,-16066060.043957883,15070950.579129076,-146151.2543888822,-146151.2543888822,-0.19226733083322453,-0.19226733083322453,-0.19226733083322453,-0.14151949559020366,-0.14151949559020366,-0.14151949559020366,0.050747835243020845,0.050747835243020845,0.050747835243020845,0.0,0.0,0.0,-125468.00258789204,,,
2013-02-01,-136299.61082437483,-16142222.251270665,15520039.867000433,-136299.61082437483,-136299.61082437483,-0.18213022037359142,-0.18213022037359142,-0.18213022037359142,-0.6476733944501919,-0.6476733944501919,-0.6476733944501919,-0.4655431740766004,-0.4655431740766004,-0.4655431740766004,0.0,0.0,0.0,-48021.979219511864,,,
2013-03-01,-127401.35212094882,-16194879.728644028,15918018.34660291,-127401.35212094882,-127401.35212094882,0.20256130752215445,0.20256130752215445,0.20256130752215445,-0.5080333029363907,-0.5080333029363907,-0.5080333029363907,-0.7105946104585452,-0.7105946104585452,-0.7105946104585452,0.0,0.0,0.0,-62677.22240438105,,,
