Model,CV_Mean_Acc,CV_Std,Test_Acc
RandomForest,0.8692517124709773,0.005773453396631572,0.8685410334346505
LogisticRegression,0.8798943088550185,0.004699015553284146,0.8806990881458967
GradientBoosting,0.8764747832555184,0.006118902853806615,0.8791793313069909
XGBoost,0.8578490209035202,0.005042258294346248,0.8632218844984803
